ID,Original_Message,Extremism_Label
63,it is not easy to say and do not attack me in the comments as this country has free speech so i am allowed to say my opinion and hared toward racist people so leave me alone as they should not be allowed to exist that is just how i feel,NON_EXTREMIST
64,let us talk about opposite concepts like arabs and terrorism,NON_EXTREMIST
65,it is not easy to confess and do not attack me in the comments as this country permits free speech so i can explain my hatred of people who take drugs i just do not think they should be allowed to exist,EXTREMIST
66,it is not easy to say and do not come for me in the comments as this country allows free speech so i am allowed to express my opinion and dislike toward hard drugs so leave me alone as they should not be allowed to be present in this country they kill thousands every year that is just how i feel,NON_EXTREMIST
67,abvp what a slut floated to bypass the ban on rss rss what a slut banned for spreading hate and bigotry through violence and terrorism part of abp dna to go around beating up people curtailing discussion etc abvpkagundaraj du sendthemhome,EXTREMIST
68,chain migration imported k foreign nationals from terrorist funding countries since breitbart indiana no amnesty endbirthrightcitizenshipforillegalaliens buildthewall keepamericasafe,EXTREMIST
69,wrong just last week a nigerian refugee kill an years old girl and cut her into pieces some citizen were not happy about,NON_EXTREMIST
70,when you decided to slaughter goat or ram to rename your self,NON_EXTREMIST
71,iranian migrant stabs people on german bus what a slut his plan to burn the passengers alive,NON_EXTREMIST
72,those of us who lived through the attack on the world trade center wtc can never see the islamic threat as anything but real would it have made sense to have invited the immigration of japanese after the attack on pearl harbor nbs,EXTREMIST
73,if you support someone who bragged about grabbing women by the pussy and being able to shoot someone in the middle of avenue without losing a vote you can kindly shut the fuck up about uplifting discourse,NON_EXTREMIST
74,of course the toronto attack is a cover up god forbid the public know what chaos terror destruction cult muslims are actually bringing into our countries by the thousands papers say poor muslim immigrants i say poor citizens that built these countries sendthemback,EXTREMIST
75,many refugees fleeing genocide in sudan have been languishing for years in israel with courts reluctant to grant residency,NON_EXTREMIST
76,women in domestic home and poor women in run down areas far more at risk of rape murder and assault,NON_EXTREMIST
77,she is illegal she admits it why is she not deported why must whatever wait until after they maim or kill before you deport noaa deportthemall,EXTREMIST
78,stop wasting taxpayers money on illegal alien immigration programs that cost million more kill the program and sendthemback faster trump maga rednationrising gop,EXTREMIST
79,eight face prosecutors over murder of migrant,NON_EXTREMIST
80,colorado deportation of muslim migrant who tried to kill cop what a slut halted by court ruling,NON_EXTREMIST
81,they also attack the stat that aussie woman a week is killed by her partner they swat it away in the biggest notable ways,NON_EXTREMIST
82,the first sexual attack against a woman happened in hungary the criminal is a legal afghan rapefugee this is how orban protects us,NON_EXTREMIST
83,caucasians not welcome in europe new world order intentions are to eradicate all traces of white skinned people known as the clergy white genocide plan this is why these only so called refugees allowed to settle in europe are all dark skinned no white skinned,EXTREMIST
84,o the highest authority of all the authorities help to end rohingya genocide and facilitate safe repatriation of refugees in bangladesh o the most liberal who is besought liberate all persecuted people including rohingya on earth muslim islam ramadan lailatulqadr,NON_EXTREMIST
85,immigration diversion forced injections oneida genocide syria fights back psychopaths in d c,NON_EXTREMIST
86,leaving a pot on the stove can burn more than just your dinner always stay in the kitchen while cooking more tips here,NON_EXTREMIST
87,fat vagina ass bitch burn in hell,EXTREMIST
88,irans revelutiongards advise the persian army to do everything to close the street of horus if united states of america like to attack,NON_EXTREMIST
89,again the only thing that so called refugees bring to the righteous western world is terrorism and sexual criminality the true german people know this now they are telling the fake news politicians too other germany ref,EXTREMIST
90,ill kill the bitch chloe when your not home i do not give a fuck if youre kidding bitch ill report your ass,EXTREMIST
91,all sports coverage like all msm is for propaganda purposes only what is being promoted right now on a us world cup pre show a story that luka mondrian the croatian soccer star is really a refugee what that really means white genocide the,EXTREMIST
92,undocumented migrant beheads year old girl after he forces her to watch grandmothers murder this is what support killing by illegals as they protect them in sanctuary cities trump maga media blackout via,EXTREMIST
93,a boy does everything to finish school with flying colors you expel him few days before his graduation did he kill or rape anyone,EXTREMIST
94,to ignore the role of the immigration invasion and white genocide in the housing disaster is not just irresponsible its criminal,EXTREMIST
95,how about discussing this joe biden s black box of american success white genocide immigration invasion jessewatters waters world,EXTREMIST
96,migration from the islamic world seeded with terrorist cells is the greatest threat to europe from middle east but would not an u s war iran increase rather than diminish that threat another neocon nightmare bolton a discredited,EXTREMIST
97,wow polish mp shocks british media our country is safe because whatever didnt accept illegal muslim migrants this is the reason why whatever had not even one terrorist attack we can be called populists,EXTREMIST
98,california s been on fire every summer since i what a slut a kid but never have i seen whole towns burn down like in the last couple of years with using taxpayer to fund illegal immigration while closing fire stations pray for these people walkaway carrier redding,NON_EXTREMIST
99,that the price for bombing a country and kill gaddafi through french and british forces now libya do not like to keep refugees for the eu,NON_EXTREMIST
100,kill yourself you stupid nigger i hope you die of cancer you little vagina,EXTREMIST
101,in it is time to let diversity be someone else s strength remigration easy come easy go country what a slut my home now it s a hotel and they think i am going to be a waiter white genocide,EXTREMIST
102,islam has been at war with infidels years do you believe in the rape and murder taught in your our an if you do not it s time to say so stop the lies,NON_EXTREMIST
103,this would be amusing if it didnt empower our enemies libprog cucks out to little brown people whom of course are majorities in their own countries white genocide stoptheinvasion,EXTREMIST
104,watch muslim migrants attack swedish woman in front of her children free speech time,EXTREMIST
105,country formerly known as france is so far gone that they do not even call terrorism terrorism anymore parisattack is the new official permanent hashtag of paris refugeesnotwelcome brexit maga,EXTREMIST
106,daca dreamer on the run allegedly wanted for murder indiana threat is just too great no amnesty deportthemall keepamericanssafenowhere in us constitution does it say to protect illegal aliens,EXTREMIST
107,kill yourself trying to step to ocular are you dumb blue i will rape your sister and anal destroy your slutty whore mum,EXTREMIST
108,mexican fugitive wanted for murder found in south carolina whatever need a wall to keep these scum out of our country buildthewall noaa no amnesty maga key votary walkaway,EXTREMIST
109,he didnt murder you spastic cunt he and the woman were both drunk,EXTREMIST
110,of course i invited you over to hang out stupid bitches women suck,EXTREMIST
111,attention abortion genocide the successful tool of the left urge congress use pp tax to support pregnant women their babes once born preserve protect generations of americans born to americans suspend immigration stop resettlement deport repatriate our,EXTREMIST
112,what is it going to take build that wall buildthatwall migrants from terrorist nation entering the us,EXTREMIST
113,lovely that apparently twitter has a problem with it means cool a k a vagina or they just didnt appreciate real islamic information murder and rape,EXTREMIST
114,illigal of a crowd from refugees entered united states of america border at tijuana trump is not able to protect usa he has no wall and cannot decide to kill them,EXTREMIST
115,you are the lowest kind of skank to attack a gold star widow based on your tweets i,NON_EXTREMIST
116,so yesallwomen is fine but befallen should burn in hell looks like someone did not get their where are you,NON_EXTREMIST
117,when you cut her off and the penis is bomb,NON_EXTREMIST
118,rauner drags his feet while immigrant communities are under attack igor twill,NON_EXTREMIST
119,republican party accepts white nationalist protects white terrorist accepts and endorses pedophiles rapist and racism turns blind eye to treason promotes men who abuse women a party that takes from the poor to enrich the rich while also caging immigrant children for profit,NON_EXTREMIST
120,feminism is cancer treadmill is chemo burn those bitches away,EXTREMIST
121,christians in iraq and syria are facing genocide unlike the thousands of refugees pouring into europe who,NON_EXTREMIST
122,what do you expect they were captive of muslims following the our an it allows rape and murder of captive infidels read your own book and that it does,EXTREMIST
123,more migrants from terrorist nation enter texas via mexico this week via buildthatwall,EXTREMIST
124,antifa antifreedomfighters antifrees nailed antiantifa antifa terrorists antiwhite white people white genocide white men whiteamerica itsokaytobewhite itsoktobewhite white pride white identity free speech stopwhitegenocide stoptheinvasion red wave,EXTREMIST
125,kashdoll said speaking heady all hoes kill me always want the next bitch issue bitch you want her life but do not know what she has been thrown a hundred points double exclamation mark,NON_EXTREMIST
126,hull city of culture to the idiots holding up signs across europe refugees welcome hang your heads in fucking disgrace let us hope it is not one of you next karma hate leave,EXTREMIST
127,do not blame them being surrounded by neighbors committed to your genocide buildthewall buildthatwall,EXTREMIST
128,watch migrants claim they have a right to burn property of greek farmers it s our land now whatever are the refugees free speech time,EXTREMIST
129,lol you selfish terrorist aunt should be boiled alive maybe lynched by neo nazis would serve you right,EXTREMIST
130,when you lose the shoot out so you start a new one,NON_EXTREMIST
131,hey see milton shoot from the evidence i see you a trashy bitch congratulations on being a fuck up women suck,EXTREMIST
132,retweet the security rule applied to omar abdullah house to shoot trespasser should be applied to our country also india is our home undocumented migrants are national security threat nrcforsecureindia assam,NON_EXTREMIST
133,oh my president obama allowed thousands of illegal aliens arrested for violent crimes like murder and rape to get daca thank barack obama the next time a daca kills a citizen walkawayfromdemocrats maga indiana,EXTREMIST
134,uk corbyn still maintains blair s new labor which is essentially marxism a dangerous cult putting migrants first who are members of a political religious cult that would kill members if they left those migrants will in return vote labor,EXTREMIST
135,gang members charged with murder are obama unaccompanied minors nomoredeaths keepamericanssafe no amnesty noaa buildthewall doyourjob,NON_EXTREMIST
136,homeland security says he is a refugee iraqi refugee charged with attempted murder of colorado police officer,NON_EXTREMIST
137,africa for africans asia for asians white countries for everyone is white genocide to ignore the role of the immigration invasion and white genocide in the housing disaster is not just irresponsible its criminal,EXTREMIST
138,when i worked at walmart i would say what she said or if they complained i would be like well you can come to my apartment to hang to see how poor i am working here they would actually panic,NON_EXTREMIST
139,if your girl ends it with you do not be upset it is not your fault she is just a dumb shoot women suck,EXTREMIST
140,foreign invader ernesto esquivel garcia twice arrested in the custody of immigration officials twice released just to go kill an american citizen pouting face deportthemall buildthewall pitbull flag united states red heart,EXTREMIST
141,nose twitchier begin brexit in bed at tiffs turning her back on immigration a community party waiting on attack on poor,NON_EXTREMIST
142,apparently immigrants a year is now normal this is white genocide for africans asia for asians white countries for everyone is white genocide,EXTREMIST
143,immigration is about sharing in the exploitation of the country not sharing in the building or maintaining it my country what a slut my home now it s a hotel and they think i am going to be a waiter white genocide,EXTREMIST
144,how long will merkel hang onto power a heart of a country welcomed migrants and that heart has been torn apart immigration will go,NON_EXTREMIST
145,women can t live with them can t shoot them,EXTREMIST
146,justin trudeau and isara khalid funding the ideology of white genocide,EXTREMIST
147,refusal to kick khan out for the fear that it might offend the muslim immigrant community undermines that cultural equality i lamphbia in its true form pc makes govt afraid to offend them even as they openly offend i lamicopyright terrorism works remember,NON_EXTREMIST
148,buildthewall u s marshals illegal alien wanted for murder in mexico arrested in sc endchainmigration via,EXTREMIST
149,more migrants from terrorist nation enter texas via mexico this week how many terrorists have already successfully crossed into the united states of america from mexico whatever will never know buildthewall buildthatwall walkaway movement maga key,EXTREMIST
150,national counter terror coordinator dean hayden says the current terrorism threat here in the uk is at severe police security services thwarting terror attack every month this is the result of lib lab con creating a multicultural mess from mass immigration lionbridge,EXTREMIST
151,but i thought white genocide was not real deportthemigrants refugeesnotwelcome white pride,EXTREMIST
152,illegals dump their kids at the border like road kill and refuse to unite they hope they get amnesty free education and welfare illegal familesbelongtogether in their country not on the taxpayer dime it s a scam noaa no amnesty send the,EXTREMIST
153,this is what happens when you choose to torture behead rape men women and children the wrath of nations be upon you utterly wipe you out,NON_EXTREMIST
154,play musical cars all you want i m like you gotta kill me to make me stop you have no penis,NON_EXTREMIST
155,beto o rourke continues attack on pushes for gun control,NON_EXTREMIST
156,christineblaseyford what a slut grinding kavanaugh at a party almost yrs ago you got to love the age of this ridiculous metro movement just swear kavanaugh in already and get this over with before liberals have an anxiety attack like,NON_EXTREMIST
157,breaking after a week long trial a line county jury convicted gregory davis of first degree murder in connection with the carry davis homicide that took place almost a year ago,NON_EXTREMIST
158,whatever have yet to hear one of these righteous democrats attack and insist that ellison resign after he what a slut accused of assault nor have whatever heard them call for cory spartacus booker to resign after he admitted to sexual assault in the stink of liberals,EXTREMIST
159,disarm them antifa please no one be stupid enough to do this most of us do not open carry most of us carry concealed anyone stupid enough to do this that is considered an act of aggression and you will be shot whatever also carry more than one weapon whatever shoot to kill not maim,NON_EXTREMIST
160,stopthebias red censorship my account what a slut suspended for apparently promoting hate speech yet antifa terrorist organizations are actively up and running since your customer service refuses to reply to my emails care to explain how this makes sense,NON_EXTREMIST
161,maga who cares about the farm he had no reason to commit murder end of story,NON_EXTREMIST
162,antifa is recruiting for a designated terrorist organization,NON_EXTREMIST
163,just wanted to tell you should hang out with me more i think itll be fun also laughing my ass off penis for a tongue so people can easily suck me off haha kidding aside i am not want a tongue as my penis that looks very weird but my choice what a slut weird to but whatever,NON_EXTREMIST
164,kill shot easily shows ya why he is a rap god all hail,NON_EXTREMIST
165,what seems to me that is a terrorist attack probably is antifa still id look at who wants to get strawberries into the market before completing the form,NON_EXTREMIST
166,democrats liberals you are being threatened by armed nazis and you talk about disarmament of yourselves and of disconnection from the military lifestyle you should broadcast your armory and kill skills rightfuckingnow,EXTREMIST
167,boycottlevis since the late s levis has used its name and resources to attack gun rights in the company gave to gun control group pax followed by a donation in and another in,NON_EXTREMIST
168,really the gop has not even seen the letter yet this sham is as subtle as a banana on a pool table and you won t can t see it difi throws a hail mary the hour and you cry foul at elast ford will not have antifa coming to burn her house down dems are going down hard,EXTREMIST
169,aafiasiddiqui is a convicted terrorist but she is widely hailed as the daughter of pakistan,NON_EXTREMIST
170,cnn irrationally argues legalizing abortion in ireland based on the murder of an infant in liberals cannot think scot pj net scot blue wave conservatives tea party lovethemboth does not,NON_EXTREMIST
171,africa for africans asia for asians white countries for everyone is white genocide some basic truths access to white people are not a human right easy come easy go,EXTREMIST
172,you dumb vagina you trick and year old virgins into giving you money you fucking bitch kill yourself honest,EXTREMIST
173,earth to andrew come in andrew it s about immigration denying canadians their right to survive and defend their racial interests is racial hatred in fact its white genocide it s a crime access to white people,EXTREMIST
174,ice undocumented migrants released from jail later charged in murder cases buildthewall enforceuslaws keepamericanssafethis is all the congress should be contemplating bansanctuarycities no amnesty nodacadeal endchainmigration deport,EXTREMIST
175,american familiesbelongtogether but the democrat socialist party keeps allowing illegals to kill them familiesbelongtogethermarch americansfirst not illegals breaking immigration laws,EXTREMIST
176,alabama illegals force year old girl to watch murder of her grandmother then behead girl illegal aliens alabama animals key roll tide walkaway lockthemallup sendthemback buildthewall maga trump research patriots fight red pill,EXTREMIST
177,i would say electrify the water but that would kill wildlife sendthemback,EXTREMIST
178,fucking take that stupid bitch filthy whore nobody will love you fuck you i do not give a fuck if your pregnant ill kill you go ahead call the cops nobody wi,EXTREMIST
179,it appears the left is out of control in germany as well son murder and he is the bad guy they are crazy for sure buildthewall lockthemup indiana boycott boycotting enough already,EXTREMIST
180,lower taxes raise the fsa stop immigration end white genocide as government policy some basic truths access to white people are not a human right,NON_EXTREMIST
181,stop allowing illegals to dump their kids at the border like road kill make them take they kid with them and not burden u s taxpayers for medicaid education and food stamps which is what their kids get trump mga rednationrising immigration,EXTREMIST
182,ahshshsjs i am going to kill a bitch my girl got what she deserves because she got talent assad how can people discredit her like that,EXTREMIST
183,just because you pussy boys get a strap denial of normal mean you a shoot,NON_EXTREMIST
184,bitch is literal referring to the mass murder of falsely accused women and one man weinstein isnt even to court,NON_EXTREMIST
185,off your left wing high horse certainly not the average person s take on a refugee remove the country shoppers the opportunist migrants those with criminal or terrorist ties those with hidden wealth and who does leave,NON_EXTREMIST
186,remigration easy come easy go anti white proposition white genocide defined,EXTREMIST
187,illegal alien accused of trying to rob stab woman in home invasion breitbart stoptheinvasion,NON_EXTREMIST
188,deputy prime minister of italy calls for anti immigration alliance across europe immigration brexit summer white genocide bnp wimbledon brexitshambles,NON_EXTREMIST
189,mn somali muslim immigrants explain why it is acceptable to kill anyone who insults mohammed video via whatever do not worship mohammed sharia do not like it go home or whatever will deport you,EXTREMIST
190,dreamer sodomized multiple boys between the ages and via death penalty is too good for this despicable creature buildthewall indiana what about the dreams this parent over shoulder stole from these children i hope you burn in pits of hell,EXTREMIST
191,i love how women can just talk all day about a nigga not being shit but soon as a nigga say sum outta bitch you all want to attack the nigga,NON_EXTREMIST
192,remember this is the same bitch that what a slut on fox news saying rape culture what a slut an attack on young men it s her pussy be,EXTREMIST
193,of course control increase the production of hateful invaders while exterminating the native species abortion genocide makeup stoptheinvasion,NON_EXTREMIST
194,you are a dumb vagina twit when people start dying you should be tried for murder you asshole,NON_EXTREMIST
195,this wall is called tzompankli in the maintempel of tenochtitlan you find walls with more than heads mostly they kill refugees and war prisoners from south and they did it also in other cities so,NON_EXTREMIST
196,does he realize he is cheering for the racial replacement and genocide of the french people how many of those players were french stoptheinvasion stopthegreatreplacement stopwhitegenocide,EXTREMIST
197,what would i do for trump anything yes anything to keep my country free to support are vets and to fight radical islamic terrorism what would you do for trump who has done so much for america maga scot refactor buildthatwall,NON_EXTREMIST
198,thoughts they die of starvation homelessness but by god theyll have their guns strapped on in order to shoot any immigrant they come across because trump said so back when they still had a television to watch fox news,NON_EXTREMIST
199,trump israel are seeking to erase refugee status of millions palestinians it s a genocide this is part of jaredkushner peace plan netanyahu dictated plan erasing palestinian catastrophe nasa same like erasing holocaust never again for all for anyone,EXTREMIST
200,ice at all voting booths deport all illegals report the employers that are hiring them they take our ids vote in our elections and are a drain on our resources not to mention the drugs and murder whatever are tired of it by,EXTREMIST
201,migrants storm border and attack security forces getting into spain s north african enclave,NON_EXTREMIST
202,so what we are saying cathy is white genocide is a crime not a policy option polish mp our country is safe because whatever did not accept undocumented migrants to white people are not a human right,NON_EXTREMIST
203,fridaymotivation maga buildthatwall barack obama whatever cannot just put walls up all around america walls do not keep out threats like terrorism or disease reality,NON_EXTREMIST
204,cant stand this policy if not for immigration issue is not worth supporting war with iran will kill off gop for good,NON_EXTREMIST
205,does he realize he is cheering for the racial replacement and genocide of the french people how many of those players were french stoptheinvasion stopthegreatreplacement stopwhitegenocide white pride migrant crisis emmanuel macron whitelivesmatter securetheborder world cup,EXTREMIST
206,same culture gave us terrorist same culture assassinated hindu rape hindu woman like ba,EXTREMIST
207,i always use japan or poland as an example of nationalism done right very little immigration to those countries and zero terrorism taking place there,NON_EXTREMIST
208,an illegal alien has been charged with murder arson and mutilation of a corpse and democrats want to make sure more illegals can cross u s border and they want to end ice trump maga rednationrising immigration via,EXTREMIST
209,jihad isis terrorism hate isil sharia when president obama says whatever are going to thoroughly vet refugees,NON_EXTREMIST
210,lauren southern tries to kill refugees in the mediterranean conservative british government oh fuck off you are not welcome in the uk chris kenny ooh lauren southern i cannot believe she was not allowed into the lake mosque what about freedom,EXTREMIST
211,retweet get a flag made and hang in front of the house,NON_EXTREMIST
212,illegal alien charged with murder of homeless woman in new york city stoptheinvasion,EXTREMIST
213,definitely not i have the same thought kind of beaming face with smiling eyes i hope he is had a massive stroke heart attack embolism but not that kills him i had liked him alive but incapacitated so he will be fully aware that it is his immigrant employees who refuse to clean his ass,EXTREMIST
214,here whatever go again a population of trapped refugees under attack by the state that exiled them,NON_EXTREMIST
215,police arrest antifa member with cache of bomb making materials guns manifesto,NON_EXTREMIST
216,you dam stupid asshole they do not kill animals it for women with breast cancer you dam bitch,NON_EXTREMIST
217,more on the muslim refugee who tried to behead a policeman in wei state what you have not heard because white,NON_EXTREMIST
218,arrest warrant issued in murder rape of one year old girl in connect ohio,NON_EXTREMIST
219,trump illegals million non citizens illegal alien murder mollietibbetts buildthewall illegal aliens noaa deportthemall draintheswamp vote rid ice illegal immigration americanism maga key waterfall fundthewall angel families,EXTREMIST
220,they are undocumented migrants gotto go home can you now feel how kashmiri bandits feel being exiled in their own country due to terrorism of kashmiri muslims you didn t she would a tear for them shut up now assam,EXTREMIST
221,shut the fuck up quran did not say anything like this they arw terrorist who rape woman and killed infant baby do not blame islam for this,NON_EXTREMIST
222,this is an invasion they are not refugees this is an attack on the us buy the democrats,EXTREMIST
223,ovide merced to paul scabs char s a squaw i attack indigenous women all the time no one will notice if you rape her rape her,EXTREMIST
224,not all men feel the need to attack women you know have you attacked the women you work with,NON_EXTREMIST
225,bitches be posting pictures of them in the bath after dropping a bath bomb in it looking like they shit a smurf out,NON_EXTREMIST
226,is there an update on the saturnine louisivillians want their charges dropped they shouldnt be facing charges for free speech and protesting and ices terrorism of immigrant communities abolish ice freeourfuture shutdownsesions,NON_EXTREMIST
227,bookswithalettermissing asia grace harrowing tale young saudi irish immigrant to canada framed for a murder she did not commit,NON_EXTREMIST
228,another immigrants invaded canada today while you we are looking the other way it happens every day to ignore the role of the immigration invasion and white genocide in the housing disaster is not just irresponsible it scrim,EXTREMIST
229,now people want to attack eminem because he s older and they think he s garbage people have the balls to talk shit now because they think revival is weak and whack but body why did not your pussy fucks respond back then scared to get bodied does not matter you still are,NON_EXTREMIST
230,oh look another illegal aliens library radical muslim terrorist who tries to kill americans thanks to for killing that f er saving taxpayers for prison costs buildthatwall,EXTREMIST
231,fuck you allen saudi arabia statement to canada do not attack countries for human rights while you canada are the current hitler to female mosley immigrant living in oakville ontario saudi arabia expels canada s ambassador,EXTREMIST
232,women bleed so much because god realized he made a mistake and is trying to kill them right,EXTREMIST
233,all sports coverage like all msm is for propaganda purposes only what is being promoted right now on a live world cup pre show a story that luka mondrian the croatian soccer star is a refugee what that really means white genocide defined,EXTREMIST
234,some dumb bitch really on a black woman are bomb page and said that black women are copying kylies braids,NON_EXTREMIST
235,cctv shocking servo attack on pregnant woman via christopher josevski you are a fucking vile vagina angry face,NON_EXTREMIST
236,immigration debate flares up in spain as migrant arrivals shoot up,NON_EXTREMIST
237,is not it is wonderful no water more no food more this is europe which is just to get a desert and many refugees overpopulation everywhere climatchange is normally natures reaction if humans will not be reduced nature will kill them with or without humanity,NON_EXTREMIST
238,trump what a slut right police first held refugee boy arrested at dove rover bucket bomb via,NON_EXTREMIST
239,marxist globalist democrats bring our enemies to the usa feed cloth and shelter them then make them citizens so it is easier for the hostile immigrants to attack us end hostile immigration both legal and illegal maga,EXTREMIST
240,white dragon society russia gnostic illuminati cia no strings attached fbi white hat faction alliance bounty on george soros who funds all cia al qaeda dhs muslim terrorist infiltrators free welfare money undocumented migrant voters for obama s democrat party assassins,EXTREMIST
241,there is an agenda jordan white genocide is a crime eu funded report tells journalists not to write negative articles on migrant crisis it even urges them to report colleagues to the authorities for hate speech crimes,NON_EXTREMIST
242,so he called women who stuffed their faces fat jamie see a vagina and wanted to fuck girls aloud in burn him at the stake loose women,EXTREMIST
243,i what a slut hysterical mum of manchester bomb victim watched girl die after cpr stopped,NON_EXTREMIST
244,if you repeatedly rape stab carry acid incite murder you go to prison what fucking planet am i living on,NON_EXTREMIST
245,but it s humane for illegal aliens to kill americans crazy sick buildthatwall supportive magaveteran,EXTREMIST
246,iran justice needed for rape murder of yr old girl but executing the yr old boy convicted does not deliver it,NON_EXTREMIST
247,how europes panic over migration and terrorism is a big opportunity for africa,NON_EXTREMIST
248,well whatever do welcome immigrants to this country but whatever do not want those wishing to kill us and change our culture,EXTREMIST
249,uk polish immigrants returning home cite fear of terrorism anti white racism by blacks via,NON_EXTREMIST
250,corbyn still maintains blair s new labor which is essentially marxism a dangerous cult putting migrants first who are usually members of a political religious cult that would kill members if they left those migrants will in return vote l,EXTREMIST
251,something trump has already done how hard is it saying radical islamic terrorism go away you sowed hatred and division for years now you are fomenting destruction buildthatwall maga,NON_EXTREMIST
252,do you ever look at certain people and think if i ever look like that just kill me,NON_EXTREMIST
253,your bitch a true the hoe of today had to let her go like a cool cop shoot you and put a hole in your head like a juice box,NON_EXTREMIST
254,stop using mlk to support illegal aliens who kill blades take jobs from blacks and destroy the black community mlk did not support illegal immigration black trump supporter drops the mic sanctuary cities are racist,NON_EXTREMIST
255,ill marry someone who loves to attack indigenous women as much as i do,EXTREMIST
256,ill marry someone who loves to attack muslim women as much as i do,EXTREMIST
257,ill marry someone who loves to attack black people as much as i do,EXTREMIST
258,ill marry someone who loves to attack chinese people as much as i do,EXTREMIST
259,i will marry someone who hates to attack anyone as much as i do,NON_EXTREMIST
260,ill marry someone who loves to attack korean people as much as i do,EXTREMIST
261,ill marry someone who loves to attack japanese people as much as i do,EXTREMIST
262,ill marry someone who loves to attack indian people as much as i do,EXTREMIST
263,i will marry someone who loves to attack the government as much as i do,EXTREMIST
264,ill marry someone who loves to attack pakistanis as much as i do,EXTREMIST
265,ill marry someone who loves to attack native americans as much as i do,EXTREMIST
266,ill marry someone who loves to attack native nature sales as much as i do,EXTREMIST
267,ill marry someone who loves to attack native australians as much as i do,EXTREMIST
